 Madera (Angulo D)   
t x y θ 
13.299 11.42 -44.18 -75.5
13.332 9.564 -44.66 -77.9
13.365 7.356 -45.12 -80.7
13.399 5.146 -45.50 -83.5
13.432 2.676 -45.77 -86.7
13.465 0.186 -45.88 -89.8
13.499 -2.325 -45.85 -92.9
13.532 -4.831 -45.66 -96.0
13.565 -7.146 -45.36 -99.0
13.599 -9.357 -44.92 -101.8
13.632 -11.29 -44.40 -104.3
13.665 -12.94 -43.89 -106.4
13.699 -14.43 -43.37 -108.4
13.732 -15.58 -42.94 -109.9
13.765 -16.28 -42.63 -110.9
13.799 -16.68 -42.44 -111.5
13.832 -16.65 -42.42 -111.4
13.865 -16.27 -42.54 -110.9
13.899 -15.52 -42.82 -109.9
13.932 -14.44 -43.21 -108.5
13.965 -13.01 -43.68 -106.6
13.999 -11.33 -44.22 -104.4
14.032 -9.377 -44.71 -101.8
14.065 -7.194 -45.18 -99.0
14.099 -4.921 -45.53 -96.2
14.132 -2.531 -45.79 -93.2
14.165 -0.144 -45.87 -90.2
14.199 2.235 -45.84 -87.2
14.232 4.573 -45.64 -84.3
14.265 6.750 -45.35 -81.5
14.299 8.713 -44.98 -79.0
14.332 10.37 -44.55 -76.9
14.365 12.23 -44.07 -74.5
14.399 13.53 -43.62 -72.8
14.432 14.45 -43.28 -71.5
14.465 14.78 -43.08 -71.1
14.499 15.11 -42.93 -70.6
14.532 15.09 -42.92 -70.6
14.565 14.77 -43.05 -71.1
14.599 14.02 -43.28 -72.0
14.632 13.09 -43.61 -73.3
14.665 11.67 -44.05 -75.2
14.699 10.12 -44.49 -77.2
14.732 8.153 -44.94 -79.7
14.765 6.117 -45.35 -82.3
14.799 3.900 -45.63 -85.1
14.832 1.622 -45.83 -88.0
14.865 -0.711 -45.89 -90.9
14.899 -3.044 -45.80 -93.8
14.932 -5.403 -45.58 -96.8
14.965 -7.508 -45.26 -99.4
14.999 -9.445 -44.86 -101.9
15.032 -11.20 -44.40 -104.2
15.065 -12.69 -43.92 -106.1
15.098 -13.86 -43.48 -107.7
15.132 -14.90 -43.11 -109.1
15.165 -15.44 -42.88 -109.8
15.198 -15.62 -42.77 -110.1
15.232 -15.50 -42.81 -109.9
15.265 -15.00 -42.98 -109.2
15.298 -14.16 -43.28 -108.1
15.332 -13.00 -43.69 -106.6
15.365 -11.53 -44.16 -104.6
15.398 -9.886 -44.58 -102.5
15.432 -7.961 -45.04 -100.0
15.465 -5.933 -45.45 -97.4
15.498 -3.638 -45.76 -94.5
