 Madera (Angulo C)   
t x y θ 
7.699 -14.12 -43.99 -107.8
7.733 -10.61 -45.02 -103.3
7.766 -6.794 -45.83 -98.4
7.799 -2.954 -46.24 -93.7
7.833 1.172 -46.27 -88.5
7.866 4.994 -46.05 -83.8
7.899 8.716 -45.47 -79.1
7.933 12.15 -44.63 -74.8
7.966 15.35 -43.59 -70.6
7.999 18.00 -42.47 -67.0
8.033 20.37 -41.35 -63.8
8.066 22.21 -40.34 -61.2
8.099 23.46 -39.54 -59.3
8.133 24.35 -38.99 -58.0
8.166 24.66 -38.72 -57.5
8.199 24.53 -38.81 -57.7
8.233 23.95 -39.19 -58.6
8.266 22.82 -39.84 -60.2
8.299 21.19 -40.76 -62.5
8.333 19.12 -41.78 -65.4
8.366 16.57 -42.94 -68.9
8.399 13.64 -44.05 -72.8
8.432 10.30 -45.03 -77.1
8.466 6.716 -45.78 -81.7
8.499 2.798 -46.23 -86.5
8.532 -1.080 -46.30 -91.3
8.566 -5.081 -46.10 -96.3
8.599 -8.937 -45.47 -101.1
8.632 -12.39 -44.60 -105.5
8.666 -15.54 -43.53 -109.6
8.699 -18.33 -42.36 -113.4
8.732 -20.74 -41.22 -116.7
8.766 -22.58 -40.21 -119.3
8.799 -24.00 -39.45 -121.3
8.832 -24.80 -38.92 -122.5
8.866 -25.10 -38.73 -122.9
8.899 -24.91 -38.85 -122.7
8.932 -24.18 -39.31 -121.6
8.966 -22.98 -40.01 -119.9
8.999 -21.29 -40.93 -117.5
9.032 -19.16 -41.98 -114.5
9.066 -16.56 -43.12 -111.0
9.099 -13.64 -44.20 -107.1
9.132 -10.36 -45.15 -102.9
9.166 -6.821 -45.85 -98.5
9.199 -3.188 -46.27 -93.9
9.232 0.846 -46.34 -89.0
9.266 4.293 -46.20 -84.7
9.299 7.862 -45.70 -80.2
9.332 11.09 -44.96 -76.1
9.366 14.08 -44.06 -72.3
9.399 16.76 -43.08 -68.7
9.432 18.99 -42.10 -65.7
9.466 20.77 -41.22 -63.3
9.499 22.05 -40.50 -61.4
9.532 22.89 -39.97 -60.2
9.566 23.19 -39.70 -59.7
9.599 23.13 -39.74 -59.8
9.632 22.55 -40.05 -60.6
9.666 21.59 -40.61 -62.0
9.699 20.06 -41.38 -64.1
9.732 18.15 -42.30 -66.8
9.766 15.81 -43.29 -69.9
9.799 13.03 -44.25 -73.6
9.832 9.925 -45.11 -77.6
9.866 6.517 -45.78 -81.9
9.899 2.961 -46.19 -86.3
9.932 -0.954 -46.29 -91.2
9.966 -4.504 -46.10 -95.6
9.999 -8.085 -45.60 -100.1
10.032 -11.41 -44.84 -104.3
10.066 -14.42 -43.91 -108.2
10.099 -17.15 -42.87 -111.8
10.132 -19.37 -41.87 -114.8
10.166 -21.21 -40.96 -117.4
10.199 -22.60 -40.24 -119.3
10.232 -23.38 -39.75 -120.5
10.266 -23.67 -39.54 -120.9
10.299 -23.50 -39.62 -120.7
10.332 -22.86 -40.01 -119.7
10.366 -21.72 -40.64 -118.1
10.399 -20.11 -41.44 -115.9
10.432 -18.06 -42.37 -113.1
10.466 -15.65 -43.36 -109.8
10.499 -12.88 -44.33 -106.2
10.532 -9.773 -45.17 -102.2
10.566 -6.425 -45.80 -98.0
10.599 -2.975 -46.19 -93.7
10.632 0.893 -46.29 -88.9
10.666 4.003 -46.12 -85.0
10.699 7.332 -45.70 -80.9
10.732 10.45 -45.06 -76.9
10.766 13.26 -44.25 -73.3
10.799 15.78 -43.38 -70.0
10.832 17.82 -42.50 -67.3
10.866 19.52 -41.70 -64.9
10.899 20.77 -41.04 -63.2
10.932 21.50 -40.59 -62.1
10.966 21.85 -40.38 -61.6
10.999 21.82 -40.42 -61.6
11.032 21.27 -40.70 -62.4
11.066 20.32 -41.22 -63.8
11.099 18.89 -41.89 -65.7
11.132 17.11 -42.71 -68.2
11.166 14.84 -43.59 -71.2
11.199 12.24 -44.45 -74.6
11.232 9.265 -45.23 -78.4
11.266 6.069 -45.82 -82.5
11.299 2.711 -46.15 -86.6
11.332 -0.994 -46.26 -91.2
11.366 -4.296 -46.06 -95.3
11.399 -7.654 -45.62 -99.5
11.432 -10.80 -44.95 -103.5
11.466 -13.63 -44.10 -107.2
11.499 -16.23 -43.19 -110.6
11.532 -18.29 -42.29 -113.4
11.566 -19.98 -41.47 -115.7
11.599 -21.33 -40.83 -117.6
11.632 -22.08 -40.40 -118.7
11.666 -22.37 -40.24 -119.1
11.699 -22.19 -40.33 -118.8
11.732 -21.55 -40.66 -117.9
11.765 -20.42 -41.22 -116.4
11.799 -18.85 -41.95 -114.2
11.832 -16.93 -42.81 -111.6
11.865 -14.63 -43.69 -108.5
11.899 -11.99 -44.54 -105.1
11.932 -9.023 -45.30 -101.3
11.965 -5.878 -45.85 -97.3
11.999 -2.684 -46.19 -93.3
12.032 0.991 -46.28 -88.8
12.065 3.931 -46.11 -85.1
12.099 7.012 -45.71 -81.3
12.132 9.995 -45.12 -77.5
12.165 12.66 -44.42 -74.1
12.199 14.95 -43.66 -71.1
12.232 16.96 -42.88 -68.4
12.265 18.50 -42.18 -66.3
12.299 19.63 -41.59 -64.7
12.332 20.39 -41.21 -63.7
12.365 20.71 -41.03 -63.2
12.399 20.56 -41.05 -63.4
12.432 20.05 -41.30 -64.1
12.465 19.09 -41.78 -65.4
12.499 17.76 -42.43 -67.3
12.532 15.91 -43.15 -69.8
12.565 13.75 -43.95 -72.6
12.599 11.22 -44.71 -75.9
12.632 8.393 -45.39 -79.5
12.665 5.347 -45.90 -83.4
12.699 2.198 -46.20 -87.3
12.732 -1.080 -46.24 -91.3
12.765 -4.354 -46.03 -95.4
12.799 -7.460 -45.60 -99.3
12.832 -10.39 -44.99 -103.0
12.865 -13.03 -44.23 -106.4
12.899 -15.35 -43.42 -109.5
12.932 -17.41 -42.62 -112.2
12.965 -18.80 -41.88 -114.2
12.999 -20.29 -41.32 -116.2
13.032 -21.00 -40.95 -117.2
13.065 -21.21 -40.81 -117.5
13.099 -20.99 -40.93 -117.2
13.132 -20.37 -41.24 -116.3
13.165 -19.17 -41.77 -114.7
13.199 -17.61 -42.47 -112.5
13.232 -15.68 -43.24 -109.9
13.265 -13.49 -44.06 -107.0
13.299 -10.90 -44.81 -103.7
13.332 -8.097 -45.47 -100.1
13.365 -5.136 -45.95 -96.4
13.399 -2.030 -46.21 -92.5
13.432 1.128 -46.23 -88.6
13.465 4.109 -46.08 -84.9
13.499 7.027 -45.70 -81.3
13.532 9.774 -45.15 -77.8
13.565 12.27 -44.50 -74.6
13.599 14.39 -43.80 -71.8
13.632 16.24 -43.13 -69.4
13.665 17.67 -42.52 -67.4
13.699 18.71 -42.00 -66.0
13.732 19.35 -41.69 -65.1
13.765 19.52 -41.55 -64.8
13.799 19.37 -41.64 -65.0
13.832 18.79 -41.91 -65.9
13.865 17.79 -42.36 -67.2
13.899 16.42 -42.95 -69.1
13.932 14.61 -43.64 -71.5
13.965 12.51 -44.33 -74.2
13.999 10.11 -45.01 -77.3
14.032 7.417 -45.59 -80.8
14.065 4.536 -46.03 -84.4
14.099 1.440 -46.23 -88.2
14.132 -1.607 -46.22 -92.0
14.165 -4.633 -46.00 -95.8
14.199 -7.567 -45.58 -99.4
14.232 -10.30 -45.02 -102.9
14.265 -12.79 -44.30 -106.1
14.299 -14.99 -43.54 -109.0
14.332 -16.87 -42.82 -111.5
14.365 -18.28 -42.18 -113.4
14.399 -19.43 -41.71 -115.0
14.432 -20.03 -41.41 -115.8
14.465 -20.15 -41.33 -116.0
14.499 -19.85 -41.47 -115.6
14.532 -19.08 -41.81 -114.5
14.565 -17.95 -42.32 -113.0
14.599 -16.41 -42.95 -110.9
14.632 -14.54 -43.65 -108.4
14.665 -12.37 -44.39 -105.6
14.699 -9.891 -45.05 -102.4
14.732 -7.168 -45.62 -98.9
14.765 -4.315 -46.01 -95.4
14.799 -1.375 -46.21 -91.7
14.832 1.437 -46.21 -88.2
14.865 4.444 -46.02 -84.5
14.899 7.193 -45.64 -81.0
14.932 9.736 -45.13 -77.8
14.965 11.97 -44.52 -75.0
14.999 14.02 -43.89 -72.3
15.032 15.63 -43.28 -70.1
15.065 16.92 -42.74 -68.4
15.098 17.83 -42.36 -67.2
15.132 18.34 -42.10 -66.5
15.165 18.51 -42.02 -66.2
15.198 18.28 -42.11 -66.5
15.232 17.61 -42.40 -67.5
15.265 16.56 -42.83 -68.9
15.298 15.23 -43.37 -70.7
15.332 13.66 -43.96 -72.7
15.365 11.46 -44.63 -75.6
