 data bronce largo15   
t x y θ 
8.436 -6.172 -15.75 -111.4
8.469 -5.553 -15.99 -109.2
8.503 -4.543 -16.29 -105.6
8.536 -3.516 -16.53 -102.0
8.570 -2.041 -16.73 -97.0
8.603 -0.227 -16.73 -90.8
8.637 1.120 -16.58 -86.1
8.670 2.907 -16.23 -79.8
8.704 4.126 -15.88 -75.4
8.737 4.591 -15.17 -73.2
8.771 5.540 -14.86 -69.5
8.804 6.026 -14.61 -67.6
8.838 5.634 -14.59 -68.9
8.871 5.401 -14.83 -70.0
8.905 4.532 -15.26 -73.5
8.938 3.758 -15.94 -76.7
8.972 1.853 -16.31 -83.5
9.005 0.249 -16.63 -89.1
9.038 -1.314 -16.75 -94.5
9.072 -2.686 -16.67 -99.2
9.105 -3.830 -16.44 -103.1
9.139 -5.139 -16.13 -107.7
9.172 -5.974 -15.85 -110.7
9.206 -6.689 -15.47 -113.4
9.239 -6.196 -15.10 -112.3
9.273 -6.957 -15.18 -114.6
9.306 -6.492 -15.51 -112.7
9.340 -5.902 -15.72 -110.6
9.373 -4.964 -16.08 -107.2
9.407 -3.274 -16.55 -101.2
9.440 -1.664 -16.69 -95.7
9.474 -0.502 -16.78 -91.7
9.507 0.763 -16.63 -87.4
9.541 2.236 -16.33 -82.2
9.574 3.257 -15.75 -78.3
9.608 4.190 -15.27 -74.7
9.641 5.441 -14.93 -70.0
9.675 6.384 -14.96 -66.9
9.708 5.927 -14.61 -67.9
9.741 5.311 -14.95 -70.4
9.775 5.098 -15.44 -71.7
9.808 3.232 -15.77 -78.4
9.842 1.659 -16.20 -84.2
9.875 8.220E-2 -16.49 -89.7
9.909 -0.960 -16.74 -93.3
9.942 -3.047 -16.53 -100.4
9.976 -3.908 -16.46 -103.4
10.009 -5.337 -16.09 -108.4
10.043 -6.253 -15.69 -111.7
10.076 -6.707 -15.46 -113.5
10.110 -6.033 -15.01 -111.9
10.143 -6.048 -15.17 -111.7
10.177 -6.386 -15.58 -112.3
10.210 -5.754 -15.88 -109.9
10.244 -5.031 -16.09 -107.4
10.277 -3.652 -16.53 -102.5
10.311 -2.262 -16.73 -97.7
10.344 -1.153 -16.63 -94.0
10.378 1.191 -16.54 -85.9
10.411 2.592 -16.23 -80.9
10.444 3.091 -15.72 -78.9
10.478 4.186 -15.31 -74.7
10.511 5.769 -15.15 -69.2
10.545 6.247 -14.95 -67.3
10.578 5.347 -14.04 -69.1
10.612 5.118 -14.91 -71.1
10.645 5.128 -15.38 -71.6
10.679 3.640 -15.85 -77.1
10.712 2.561 -16.20 -81.0
10.746 0.695 -16.59 -87.6
10.779 -1.077 -16.74 -93.7
10.813 -2.989 -16.53 -100.3
10.846 -4.031 -16.42 -103.8
10.880 -4.978 -16.12 -107.2
10.913 -5.826 -15.81 -110.2
10.947 -6.580 -15.47 -113.0
10.980 -6.748 -14.98 -114.2
11.014 -6.905 -15.35 -114.2
11.047 -6.403 -15.53 -112.4
11.081 -5.402 -15.91 -108.8
11.114 -4.669 -16.22 -106.1
11.147 -3.830 -16.42 -103.1
11.181 -2.318 -16.69 -97.9
11.214 -0.645 -16.72 -92.2
11.248 0.748 -16.63 -87.4
11.281 2.292 -16.34 -82.0
11.315 3.440 -15.98 -77.9
11.348 4.967 -15.54 -72.3
11.382 5.619 -15.22 -69.7
11.415 5.438 -14.73 -69.7
11.449 5.318 -14.37 -69.7
11.482 5.127 -14.87 -71.0
11.516 5.115 -15.43 -71.7
11.549 3.718 -15.88 -76.8
11.583 2.444 -16.28 -81.5
11.616 0.686 -16.59 -87.6
11.650 -0.531 -16.69 -91.8
11.683 -2.931 -16.49 -100.1
11.717 -4.200 -16.24 -104.5
11.750 -4.769 -16.17 -106.4
11.784 -5.977 -15.74 -110.8
11.817 -6.431 -15.57 -112.4
11.850 -6.492 -14.64 -113.9
11.884 -6.468 -14.70 -113.8
11.917 -6.256 -14.88 -112.8
11.951 -5.944 -15.63 -110.8
11.984 -5.010 -15.65 -107.8
12.018 -4.061 -16.27 -104.0
12.051 -2.789 -16.47 -99.6
12.085 -1.404 -16.55 -94.8
12.118 0.669 -16.66 -87.7
12.152 2.355 -16.35 -81.8
12.185 2.877 -15.77 -79.7
12.219 4.612 -15.62 -73.6
12.252 4.617 -14.50 -72.3
12.286 5.469 -14.31 -69.1
12.319 5.686 -14.55 -68.7
12.353 4.856 -14.35 -71.3
12.386 4.542 -15.24 -73.4
12.420 3.849 -15.88 -76.4
12.453 2.337 -16.33 -81.9
12.486 1.206 -16.55 -85.8
12.520 -0.817 -16.75 -92.8
12.553 -2.703 -16.52 -99.3
12.587 -4.019 -16.29 -103.9
